"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-10-17","4,373.20","4,345.23","4,393.57","4,337.54","","-0.01%"
"2023-10-16","4,373.63","4,342.37","4,383.33","4,342.37","","1.06%"
"2023-10-13","4,327.78","4,360.49","4,377.10","4,311.97","","-0.50%"
"2023-10-12","4,349.61","4,380.94","4,385.85","4,325.43","","-0.62%"
"2023-10-11","4,376.95","4,366.59","4,378.64","4,345.34","","0.43%"
"2023-10-10","4,358.24","4,339.75","4,385.46","4,339.64","","0.52%"
"2023-10-9","4,335.66","4,289.02","4,341.73","4,283.79","","0.63%"
"2023-10-6","4,308.50","4,234.79","4,324.10","4,219.55","","1.18%"
"2023-10-5","4,258.19","4,259.31","4,267.13","4,225.91","","-0.13%"
"2023-10-4","4,263.75","4,233.83","4,268.50","4,220.48","","0.81%"
"2023-10-3","4,229.45","4,269.75","4,281.15","4,216.45","","-1.37%"
"2023-10-2","4,288.39","4,284.52","4,300.58","4,260.21","","0.01%"
"2023-9-29","4,288.05","4,328.18","4,333.15","4,274.86","","-0.27%"
"2023-9-28","4,299.70","4,269.65","4,317.27","4,264.38","","0.59%"
"2023-9-27","4,274.51","4,282.63","4,292.07","4,238.63","","0.02%"
"2023-9-26","4,273.53","4,312.88","4,313.01","4,265.98","","-1.47%"
"2023-9-25","4,337.44","4,310.62","4,338.51","4,302.70","","0.40%"
"2023-9-22","4,320.06","4,341.74","4,357.40","4,316.49","","-0.23%"
"2023-9-21","4,330.00","4,374.36","4,375.70","4,329.17","","-1.64%"
"2023-9-20","4,402.20","4,452.81","4,461.03","4,401.38","","-0.94%"
"2023-9-19","4,443.95","4,445.41","4,449.85","4,416.61","","-0.22%"
"2023-9-18","4,453.53","4,445.13","4,466.36","4,442.11","","0.07%"
"2023-9-15","4,450.32","4,497.98","4,497.98","4,447.21","","-1.22%"
"2023-9-14","4,505.10","4,487.78","4,511.99","4,478.69","","0.84%"
"2023-9-13","4,467.44","4,462.65","4,479.39","4,453.52","","0.12%"
"2023-9-12","4,461.90","4,473.27","4,487.11","4,456.83","","-0.57%"
"2023-9-11","4,487.46","4,480.98","4,490.77","4,467.89","","0.67%"
"2023-9-8","4,457.49","4,451.30","4,473.53","4,448.38","","0.14%"
"2023-9-7","4,451.14","4,434.55","4,457.81","4,430.46","","-0.32%"
"2023-9-6","4,465.48","4,490.35","4,490.35","4,442.38","","-0.70%"
"2023-9-5","4,496.83","4,510.06","4,514.29","4,496.01","","-0.42%"
"2023-9-1","4,515.77","4,530.60","4,541.25","4,501.35","","0.18%"
"2023-8-31","4,507.66","4,517.01","4,532.26","4,507.39","","-0.16%"
"2023-8-30","4,514.87","4,500.34","4,521.65","4,493.59","","0.38%"
"2023-8-29","4,497.63","4,432.75","4,500.14","4,431.68","","1.45%"
"2023-8-28","4,433.31","4,426.03","4,439.56","4,414.98","","0.63%"
"2023-8-25","4,405.71","4,389.38","4,418.46","4,356.29","","0.67%"
"2023-8-24","4,376.31","4,455.16","4,458.30","4,375.55","","-1.35%"
"2023-8-23","4,436.01","4,396.44","4,443.18","4,396.44","","1.10%"
"2023-8-22","4,387.55","4,415.33","4,418.59","4,382.77","","-0.28%"
"2023-8-21","4,399.77","4,380.28","4,407.55","4,360.30","","0.69%"
"2023-8-18","4,369.71","4,344.88","4,381.82","4,335.31","","-0.01%"
"2023-8-17","4,370.36","4,416.32","4,421.17","4,364.83","","-0.77%"
"2023-8-16","4,404.33","4,433.79","4,449.95","4,403.55","","-0.76%"
"2023-8-15","4,437.86","4,478.87","4,478.87","4,432.19","","-1.16%"
"2023-8-14","4,489.72","4,458.13","4,490.33","4,453.44","","0.58%"
"2023-8-11","4,464.05","4,450.69","4,476.23","4,443.98","","-0.11%"
"2023-8-10","4,468.83","4,487.16","4,527.37","4,457.92","","0.03%"
"2023-8-9","4,467.71","4,501.57","4,502.44","4,461.33","","-0.70%"
"2023-8-8","4,499.38","4,498.03","4,503.31","4,464.39","","-0.42%"
"2023-8-7","4,518.44","4,491.58","4,519.84","4,491.15","","0.90%"
"2023-8-4","4,478.03","4,513.96","4,540.34","4,474.55","","-0.53%"
"2023-8-3","4,501.89","4,494.27","4,519.49","4,485.54","","-0.25%"
"2023-8-2","4,513.39","4,550.93","4,550.93","4,505.75","","-1.38%"
"2023-8-1","4,576.73","4,578.83","4,584.62","4,567.53","","-0.27%"
"2023-7-31","4,588.96","4,584.82","4,594.22","4,573.14","","0.15%"
"2023-7-28","4,582.23","4,565.75","4,590.16","4,564.01","","0.99%"
